frequency_rank,word,meaning,transliteration,menukad,part_of_speech,root
10481,זוכים,winners (m.pl.),zokhim (n.),,,
10482,זוכים,win (m.pl.),zokhim (v.),,,
10483,כד,jug / jar,kad,,,
10484,המיוחדות,the special (f.pl.),hameyukhadot,,,
10485,המשלבים,that/who combine,hameshalvim,,,
10486,המשקעים,the precipitate / the sediment,hamishka'im,,,
10487,המדויק,the precise / the accurate,hameduyak,,,
10488,התרחבות,widening / broadening,hitrakhavut,,,
10489,הקשיים,the difficulties,hakshayim,,,
10490,הקרן,the beam / the ray / the fund / the horn / the bugle,hakeren,,,
10491,הפריחה,the flowering / the blossom / the prosperity / the rash,haprikha,,,
10492,ההגירה,the immigration,hahagira,,,
10493,ביחידה,at a unit / in a squad,biyekhida,,,
10494,ביחידה,at the unit / in the squad,bayekhida,,,
10495,באמצעי,by means of,be'emtsa'ei,,,
10496,באמצעי,in the middlemost,ba'emtsa'i,,,
10497,רקטות,rockets,raketot,,,
10498,רכשה,acquired / bought (f.s.),rakhsha,,,
10499,נוכח,is present / realized (m.s.),nokhakh,,,
10500,נוכח,in the presence of / in front of,nokhakh,,,
10501,נשמרת,is kept / is guarded / is protected (f.s.),nishmeret,,,
10502,מתלמידיו,from his students,mitalmidav,,,
10503,מפעלים,plants / factories,mif'alim,,,
10504,מגוונות,various / diverse (f.pl.),meguvanot,,,
10505,מצויות,that are [at] / the common / the available (f.pl.),metsuyot,,,
10506,ייחודיות,unique (f.pl.),yikhudiyot,,,
10507,לשיטות,to/for the methods,lashitot,,,
10508,לשיטות,to/for methods,leshitot,,,
10509,לשווק,to market,leshavek,,,
10510,להסתיר,to hide,lehastir,,,
10511,לבסיס,to/for a basis,levasis,,,
10512,לבסיס,to/for the basis,labasis,,,
10513,וספרות,and literature,vesifrut,,,
10514,וספרות,and hairdressing,vesaparut,,,
10515,שודרה,was broadcasted (f.s.),shudra,,,
10516,שקיימת,that exist (f.s.),shekayemet,,,
10517,שפתם,their language / their edge / their lip,sfatam,,,
10518,שחי,that/who lives / that/who lived (m.s.),shekhai,,,
10519,שחי,arm pit,shekhi,,,
10520,קיומן,their existence / their survival / their holding / their fulfillment (f.pl.),kiyuman,,,
10521,חיטה,wheat,khita,,,
10522,חלוקה,division / distribution,khaluka,,,
10523,המטבחים,the kitchens,hamitbakhim,,,
10524,המצביעים,the voters,hamatsbi'im,,,
10525,הייצור,the production,hayitsur,,,
10526,השייכת,that/who belongs to / that is relevant to (f.m.),hashayekhet,,,
10527,השלמה,completion / acceptance,hashlama,,,
10528,הקליטה,the intake / the receptivity / the reception / the grasp,haklita,,,
10529,הקבלה,the acceptance / the admission / the reception / the receipt / the Kabalah,hakabala,,,
10530,הקבלה,parallelism,hakbala,,,
10531,הזמין,invited / ordered (m.s.),hizmin,,,
10532,הנדרשים,the required / that/who are required (m.pl.),hanidrashim,,,
10533,גרסתו,his version,girsato,,,
10534,במלון,at/in a hotel,bemalon,,,
10535,במלון,at/in the hotel,bamalon,,,
10536,במשחקי,in the games of,bemiskhakei,,,
10537,במשחקי,in my game / in mt acting,bemiskhaki,,,
10538,בשינויים,with/in the changes,bashinuyim,,,
10539,בשינויים,with/in changes,beshinuyim,,,
10540,טיפולים,treatments,tipulim,,,
10541,רחבת,the square of / the area of,rakhavat,,,
10542,ספריות,libraries,sifriyot,,,
10543,סביבתיים,environmental,svivatiyim,,,
10544,ההון,the capital / the wealth,hahon,,,
10545,ליבה,core,liba,,,
10546,אישיותו,his personality,ishiyuto,,,
10547,תרומות,donations / contributions,trumot,,,
10548,במאמרו,in his article,be'ma'amaro,,,
10549,פילוסופית,philosophical,filosofit,,,
10550,רעם,thunder,ra'am,,,
10551,רעם,roared / thundered,ra'am,,,
10552,מקיפה,surrounds / encircles / comprehensive (f.s.),mekifa,,,
10553,מאפיין,characteristic,me'afyen,,,
10554,מסכת,chapter / tractate (Thalmud),masekhet,,,
10555,מסכת,stethoscope,masket,,,
10556,ילדותו,his childhood,yalduto,,,
10557,להתחרות,to compete,lehitkharot,,,
10558,תרבותי,civilized / cultural / cultivated,tarbuti,,,
10559,העלאת,raising of / increase of / bringing up the,ha'ala'at,,,
10560,הניתנת,that is possible / that is given (f.s.),hanitenet,,,
10561,בקביעות,regularly / constantly / permanently,bikvi'ut,,,
10562,בסיסיים,basic (m.pl.),bsisiyim,,,
10563,ממד,dimension,memad,,,
10564,מתמקדת,focuses (f.s.),mitmakedet,,,
10565,מספרו,his number,misparo,,,
10566,מספרו,from his book,mesifro,,,
10567,לארמון,to/for a palace,le'armon,,,
10568,לארמון,to/for the palace,la'armon,,,
10569,לניתוח,to/for surgery / to/for analysis,lenitu'akh,,,
10570,לניתוח,to/for the surgery / to/for the analysis,lanitu'akh,,,
10571,תכונה,character / attribute / commotion,tkhuna,,,
10572,וזכו,and won (pl.),vezakhu,,,
10573,והדרך,and the way,vehaderekh,,,
10574,קרובה,close / relative (f.s.),karova,,,
10575,התומכת,the supporting / that/who supports (f.s.),hatomekhet,,,
10576,האלו,these,ha'elu,,,
10577,הכותבים,the writers / the authors,hakotvim,,,
10578,הבעיות,the problems,habe'ayot,,,
10579,בנוף,in a view / in a landscape / in boughs of a tree,benof,,,
10580,בנוף,in the view / in the landscape / in the boughs of a tree,banof,,,
10581,רווחת,the welfare of,ravkhat,,,
10582,רווחת,widespread,rovakhat,,,
10583,נובעות,stems from / derived from / spout (f.pl.),nov'ot,,,
10584,שייטי,the rowers of,shayatei,,,
10585,קולנועית,cinematic,kolno'it,,,
10586,פרקי,chapters of / joints of,pirkei,,,
10587,עיצורים,consonants,itsurim,,,
10588,אמנותיות,artistic (f.pl.),omanutiyot,,,
10589,חיבורים,connections / links / linkages / joining / joints / junctions,khiburim,,,
10590,אלבומי,my album,albomi,,,
10591,אלבומי,my albums,albomai,,,
10592,אלבומי,the albums of,albomei,,,
10593,אלבומה,her album,alboma,,,
10594,המתמטיות,the mathematical (f.pl.),hamatematiyot,,,
10595,הווה,present,hove,,,
10596,הקאנו,we vomited,hekenu,,,
10597,האמנותית,the artistic (f.s.),ha'omanutit,,,
10598,החלום,the dream,hakhalom,,,
10599,האפל,the dark,ha'afel,,,
10600,הכתיב,the spelling,haktiv,,,
10601,הכתיב,dictated (m.s.),hikhtiv,,,
10602,הצילומים,the photographs,hatsilumim,,,
10603,הנאמר,the said,hane'emar,,,
10604,ביים,directed,biyem,,,
10605,משבט,from the tribe of,mishevet,,,
10606,ידידו,his friend,yedido,,,
10607,לימד,taught,limed,,,
10608,קריאתו,his call,kri'ato,,,
10609,הצפייה,the watching / the observation,hatsfiya,,,
10610,סמליות,symbolism,simliyut,,,
10611,ספרותית,literary,safrutit,,,
10612,מתפתח,developing,mitpate'akh,,,
10613,מחיה,subsistence / livelihood,mikhya,,,
10614,לגישה,to an attitude / for an access / to an approach,legisha,,,
10615,לגישה,to the attitude / for the access / to the approach,lagisha,,,
10616,המלחין,the compositor / the composer,hamalkhin,,,
10617,הפיזיקאי,the physicist,hafizikai,,,
10618,ההשפעות,the effects,hahashpa'ot,,,
10619,בעובדה,[in] a fact,be'uvda,,,
10620,בעובדה,[in] the fact,ba'uvda,,,
10621,מייצר,produces (m.s.),meyatser,,,
10622,ללמד,to teach,lelamed,,,
10623,לצורת,into a shape of / to a shape of,letsurat,,,
10624,התחומים,the fields / the areas / the ranges,hatkhumim,,,
10625,בעלילה,in a plot / [in] a deed / [in] a libel / [in] a false charge,be'alila,,,
10626,בעלילה,in the plot / [in] the deed / [in] the libel / [in] the false charge,ba'alila,,,
10627,טוענת,claims / argues / charges / loads (f.s.),to'enet,,,
10628,מקיימים,hold / fulfill / carry out / maintain (m.pl.),mekaymim,,,
10629,מפיקים,producers,mefikim (n.),,,
10630,מפיקים,produce (m.pl.),mefikim (v.),,,
10631,ובמקרים,and in cases,uvemikrim,,,
10632,התהליכים,the processes,hatahalikhim,,,
10633,העיתונאים,the journalists,ha'itona'im,,,
10634,העובר,that passes / that transfers (m.s.),ha'over,,,
10635,העובר,the embryo / the fetus,ha'ubar,,,
10636,מאקליפטוס,from a Eucalyptus,me'ekaliptus,,,
10637,מהסביבה,from the area / from the enviroonment,mehasviva,,,
10638,לחמצן,to oxidize,lekhamtsen,,,
10639,פריה,its fruit,pirya,,,
10640,חמצון,oxidation,khimtsun,,,
10641,אגרוף,fist,egrof,,,
10642,אגרוף,boxing,igruf,,,
10643,המשימות,the tasks / the assignments / the missions,hamesimot,,,
10644,המגוון,the variety / the diversity,hamigvan,,,
10645,המגוון,the varied / the diverse,hameguvan,,,
10646,המבחנה,the test tube,hamavkhena,,,
10647,הפטיש,the hammer,hapatish,,,
10648,הפרישה,the secession / the retirement,haprisha,,,
10649,הפרישה,the spreading / the stretching,haprisa,,,
10650,הפרוזאית,the prosaic,haprozait,,,
10651,הנשר,the vulture,hanesher,,,
10652,בחלבון,in protein,bekhelbon,,,
10653,בחלבון,in the protein,bakhelbon,,,
10654,בחומצות,in acids,bekhumtsot,,,
10655,נוקמת,takes revenge (f.s.),nokemet,,,
10656,מקצה,from an end,mikatse,,,
10657,מקצה,heat (sport),miktse,,,
10658,יוטה,jute,yuta,,,
10659,שולח,sends (m.s.),shole'akh,,,
10660,הישגיו,his achievements,hesegav,,,
10661,גדילים,fringes,gdilim,,,
10662,סנטימטר,centimeter,sentimeter,,,
10663,יוצרות,creators / artists / makers (f.),yotsrot,,,
10664,שינויי,changes of,shinuyei,,,
10665,החיסונית,the immune,hakhisunit,,,
10666,נוזלי,liquid,nozli,,,
10667,שרירי,muscles of,shrirei,,,
10668,שרירי,my muscles,shrirai,,,
10669,באטמוספירה,in the atmosphere,ba'atmosfera,,,
10670,לאסטרוגן,to/for estrogen,le'estrogen,,,
10671,אכילת,eating of,akhilat,,,
10672,האצות,the seaweed,ha'atsot,,,
10673,הבוהן,the thumb / the big toe,habohen,,,
10674,באלמוגים,in the corals,ba'almogim,,,
10675,באלמוגים,in corals,be'almogim,,,
10676,למטבח,to/for a kitchen,lemitbakh,,,
10677,למטבח,to/for the kitchen,lamitbakh,,,
10678,פירמידות,pyramids,piramidot,,,
10679,מדברת,speaks / talks (f.s.),medaberet,,,
10680,למשטרה,to the police,lamishtara,,,
10681,לאכל,to eat,le'ekhol,,,
10682,לאכל,to corrode,le'akel,,,
10683,פת,piece of bread / bread,pat,,,
10684,אוכלת,eating (f.s.),okhelet,,,
10685,האישום,the indictment / the accusation,ha'ishum,,,
10686,הגעתי,I arrived,higati,,,
10687,הגעתי,my arrival,haga'ati,,,
10688,בעצב,sadly / with sorrow / [in] a nerve,be'etsev,,,
10689,בעצב,[in] the sadness / [in] the nerve,ba'etsev,,,
10690,בחשכה,in the dark,bakhashekha,,,
10691,נאים,handsome / nice (m.pl.),na'im,,,
10692,נחוץ,is needed / is required,nakhuts,,,
10693,מבינה,understands (f.s.),mevina,,,
10694,לחורף,for a winter,lekhoref,,,
10695,לחורף,for the winter,lakhoref,,,
10696,לכאן,[to] here,lekhan,,,
10697,תמצא,you will find (m.s.) / she will find,timtsa,,,
10698,תמצא,will be found (f.s.),timatse,,,
10699,ופעם,and once / and at one time,ufa'am,,,
10700,והלכה,and walked / and went (f.s.),vehalkha,,,
10701,והלכה,and the Jewish law,vehalakha,,,
10702,שאון,noise,sha'on,,,
10703,שאפילו,that even / that although,she'afilu,,,
10704,שהכל,that everything,shehakol,,,
10705,עליכם,on you / about you (m.pl.),aleykhem,,,
10706,זקוף,erect / upright,zakuf,,,
10707,אכל,ate (m.s.),akhal,,,
10708,החלונות,the windows,hakhalonot,,,
10709,דשא,grass,deshe,,,
10710,בהכנעה,humbly / submissively,behakhna'a,,,
10711,נברא,created,nivra,,,
10712,מלאו,were filled / were completed,mal'u,,,
10713,מוסיף,adds (m.s.),mosif,,,
10714,מחפשת,searches (f.s.),mekhapeset,,,
10715,למרבה,to the great,lemarbe,,,
10716,לתלות,to hang / to suspend,litlot,,,
10717,להרים,to lift,leharim,,,
10718,להסב,to modify / to sit at ease / to endorse,lehasev,,,
10719,תבוא,you will come (m.s.) / she will come,tavo,,,
10720,וחזק,and strong / and strongly,vekhazak,,,
10721,וחזרו,and returned / and repeated (pl.),vekhzru,,,
10722,וטוב,and good,vetov,,,
10723,וסיפר,and told (m.s.) / and cut (hair),vesiper,,,
10724,ונשא,and carried / and married (m.s.),venasa,,,
10725,שרצו,that/who wanted (pl.) / that they wanted,sheratsu,,,
10726,פרות,cows,parot,,,
10727,פסגת,top / peak / summit,pisgat,,,
10728,עוררו,woke / have excited (pl.),oreru,,,
10729,זריחת,the shine of,zrikhat,,,
10730,חרוץ,diligent,kharuts,,,
10731,כרגיל,as usual,keragil,,,
10732,התקרה,the ceiling,hatikra,,,
10733,הפתעה,surprise,hafta'a,,,
10734,ההליכה,the walk,hahalikha,,,
10735,ההקלות,the alleviations,hahakalot,,,
10736,הרגילה,the usual (f.s.),haregila,,,
10737,הסתיו,the autumn,hastav,,,
10738,גנב,thief (m.s.),ganav (n.),,,
10739,גנב,stole (m.s.),ganav (v.),,,
10740,בבקר,in the morning,baboker,,,
10741,בבקר,in cattle,bebakar,,,
10742,רשע,mean / evil,rasha (adj.),,,
10743,רשע,evil,resha (n.),,,
10744,נמכרים,are sold,nimkarim,,,
10745,נשמעה,sounded (f.s.),nishme'a,,,
10746,נסעו,drove / traveled (pl.),nas'u,,,
10747,מהלכים,moves / steps / distances,mahalakhim,,,
10748,ימשיך,will continue (m.s.),yamshikh,,,
10749,יישארו,will stay / will remain / will be left (pl.),yisha'aru,,,
10750,למשרד,to/for an office / to/for a bureau / to/for a Ministry,lemisrad,,,
10751,למשרד,to/for the office / to/for the bureau / to/for the Ministry,lamisrad,,,
10752,לקול,to/for a voice / to the sound of,lekol,,,
10753,להימשך,to continue / to be pulled / to be attracted,lehimashekh,,,
10754,להתחבא,to hide,lehitkhabe,,,
10755,להשאיר,to leave,lehash'ir,,,
10756,לסיומו,to its end,lesiyumo,,,
10757,תישאר,she will stay / you will stay (m.s.),tisha'er,,,
10758,ושמן,and fat (adj.) (m.s.),veshamen,,,
10759,ושמן,and their name (f.pl.),ushman,,,
10760,והלך,and walked / and went (m.s.),vehalakh,,,
10761,וביום,and on [day],uveyom,,,
10762,ובדרך,and on the way,uvaderekh,,,
10763,ובדרך,and in a way,uvederekh,,,
10764,שיבח,praised (m.s.),shibe'akh,,,
10765,שלוחות,branches / extensions,shlukhot,,,
10766,שחורות,black (f.pl.),skhorot,,,
10767,שחשבו,that thought (pl.),shekhashvu,,,
10768,קברים,graves,kvarim,,,
10769,עני,answer (f.s. imperative),ani,,,
10770,חותם,seal,khotam,,,
10771,אוכלים,eating (m.pl.),okhlim,,,
10772,חגיגיים,festive (m.pl.),khagigiyim,,,
10773,כפוף,bowed / bent / subordinate (m.s.),kafuf,,,
10774,הוסר,was removed,husar,,,
10775,הקיצוני,the extreme / the extremist / the radical (m.s.),hakitsoni,,,
10776,הקרובות,the close / the relatives (f.pl.),hakrovot,,,
10777,העיניים,the eyes,ha'eynayim,,,
10778,הכרחי,necessary,hekhrekhi,,,
10779,הגה,steering wheel / sound / word,hege,,,
10780,הגה,thought / meditated / pronounced (m.s.),haga,,,
10781,הצעדים,the steps,hatse'adim,,,
10782,הסתייגויות,reservations,histayguyot,,,
10783,דיברה,spoke / talked (f.s.),dibra,,,
10784,בחיפוש,in search,bekhipus,,,
10785,בחיפוש,in the search,bakhipus,,,
10786,באיזו,in which / in what (f.),be'eizo,,,
10787,בכדורסל,in basketball,bekadursal,,,
10788,בהנחה,under the assumption / on sale,behanakha,,,
10789,ברצינות,seriously,birtsinut,,,
10790,רכה,soft (f.s.),raka,,,
10791,צריכות,need (f.pl.),tsrikhot,,,
10792,סוחר,merchant / dealer / seller,sokher,,,
10793,נוגע,touches (m.s.),noge'a,,,
10794,נוראה,awful / terrible (f.s.),nora'a,,,
10795,מלווים,escorts,melavim (n.),,,
10796,מלווים,escort (m.pl.),melavim (v.),,,
10797,מלווים,creditors,malvim,,,
10798,מודעת,aware (f.s.),muda'at,,,
10799,משתמשת,uses / user (f.s.),mishtameshet,,,
10800,משתה,party / feast,mishte,,,
10801,מקומם,their place,mekomam,,,
10802,מקומם,causes to rebel,mekomem,,,
10803,מקווה,hopes (m.s.),mekave,,,
10804,מקווה,mikveh,mikve,,,
10805,מפואר,luxurious,mefo'ar,,,
10806,מעמדם,their position / their status / their class,ma'amadam,,,
10807,מאותם,from the same (m.pl.),me'otam,,,
10808,מאנשים,from people,me'anashim,,,
10809,מכיכר,from a square,mikikar,,,
10810,מכדי,more than required,mikdei,,,
10811,מהמין,from the kind / from the species / from the gender / from the sex,mehamin,,,
10812,מבקשים,ask / request / want (m.pl.),mevakshim,,,
10813,מרפא,cure,marpe,,,
10814,מרפא,cures (m.s.),merape,,,
10815,ימית,marine (f.s.),yamit (adj.),,,
10816,יחסיו,his relations,yakhasav,,,
10817,ירדה,went down / came down / descended / decreased (f.s.),yarda,,,
10818,למשטר,to/for a regime / to/for a reign,lemishtar,,,
10819,למשטר,to/for the regime / to/for the reign,lamishtar,,,
10820,למענה,for her,lema'ana,,,
10821,למטרת,for the goal of,lematrat,,,
10822,לקשור,to tie / to bond / to link,likshor,,,
10823,לפיהם,according to them,lefihem,,,
10824,לפגיעה,to/for a hit / to/for an impact / to/for a damage / to/for an offense,lepgi'a,,,
10825,לפגיעה,to/for the hit / to/for the impact / to/for the damage / to/for the offense,lapgi'a,,,
10826,לחקות,to mimic,lekhakot,,,
10827,לאגור,to collect / to accumulate,le'egor,,,
10828,לכתבי,to the works of (books),lakhitvei,,,
10829,להשוות,to compare,lehashvot,,,
10830,להפיל,to drop / to have an abortion,lehapil,,,
10831,להפך,vice versa,lehefekh,,,
10832,להפליג,to sail,lehaflig,,,
10833,להפחית,to reduce,lehafkhit,,,
10834,לבל,lest,leval,,,
10835,לרשת,to the net / to inherit,lareshet,,,
10836,לציית,to obey,letsayet,,,
10837,לסתום,to block / to plug,listom,,,
10838,לנמל,to a harbor,lenamal,,,
10839,לנמל,to the harbor,lanamal,,,
10840,תמיכתו,his support,tmikhato,,,
10841,תשובות,answers / replies / returns / repentance,tshuvot,,,
10842,תעלות,channels / canals / trenches,te'alot,,,
10843,תכשירים,preparation,takhshir,,,
10844,ויכול,and can (m.s.),veyakhol,,,
10845,ולהפוך,and to invert / and to convert / and to turn / and to become / and to transform,velahafokh,,,
10846,וכעבור,and after [time period],veka'avor,,,
10847,ובמקום,and instead / and in place of,uvimkom,,,
10848,ובמקום,and at /in the place,uvamakom,,,
10849,שמחו,were glad / were happy,samkhu,,,
10850,שילם,paid (m.s.),shilem,,,
10851,שתו,drank (pl.),shatu,,,
10852,שושנת,rose of,shoshanat,,,
10853,שקרים,lies,shkarim,,,
10854,שעורר,the/who woke / that/who has excited,she'orer,,,
10855,שגוי,erroneous / wrong / incorrect,shagui,,,
10856,שבמשך,that for a duration of,shebemeshekh,,,
10857,שבמקרה,that in case / that accidentally,shebemikre,,,
10858,שבתוכו,that is inside him/it,shebetokho,,,
10859,שרוב,which most,sherov,,,
10860,שנשאו,that/who carried / who married (pl.),shenas'u,,,
10861,קווים,lines,kavim,,,
10862,פותחה,was developed,putkha,,,
10863,פוגעים,hit / damage / offensive (m.pl.),pog'im,,,
10864,עוינים,hostile,oyenim,,,
10865,עורכי,editors of / arrangers of (m.pl.),orkhei,,,
10866,ערבה,pleasant,areva (adj.),,,
10867,ערבה,surety (f.s.),areva (n.),,,
10868,ערבה,was pleasant,arva,,,
10869,אמיתיים,real (m.pl.),amitiyim,,,
10870,אויבים,enemies,oyvim,,,
10871,זווית,angle / corner,zavit,,,
10872,חוש,sense,khush,,,
10873,חוט,wire,khut,,,
10874,חשדות,suspicions,khashadot,,,
10875,זרמו,flew (pl.),zarmu,,,
10876,אנטישמיות,Antisemitism,antishemiyut,,,
10877,כיסוי,cover,kisui,,,
10878,כשלו,failed (pl.),kashlu,,,
10879,כאבי,pains of,ke'evei,,,
10880,כספי,financial / monetary / my money,kaspi,,,
10881,המהיר,the fast / the rapid / the quick (m.s.),hamahir,,,
10882,הימין,the right,hayamin,,,
10883,היוצאים,the departing / the leaving,hayots'im,,,
10884,הישר,the straight (m.s.),hayashar,,,
10885,התלונן,complained (m.s.),hitlonen,,,
10886,התכונה,the character / the attribute / the commotion,hatkhuna,,,
10887,הוקדש,was dedicated to / was devoted,hukdash,,,
10888,הוכרה,was recognized,hukra,,,
10889,הובלו,were led / were transported (pl.),huvlu,,,
10890,השאלות,the questions,hashe'elot,,,
10891,השאלות,landings,hash'alot,,,
10892,העתיקים,the ancient / the old (m.pl.),ha'atikim,,,
10893,העקרונות,the principles,ha'ekronot,,,
10894,החלטתו,his decision,hakhlatato,,,
10895,החודש,the month / this month,hakhodesh,,,
10896,האדומה,the red (f.s.),ha'aduma,,,
10897,הזרות,the foreign / the strangers (f.),hazarot,,,
10898,הזרות,the strangeness,hazarut,,,
10899,הכיס,the pocket,hakis,,,
10900,הכללים,the rules,haklalim,,,
10901,הכלואים,the imprisoned (m.pl.),haklu'im,,,
10902,הדגיש,stressed / emphasized (m.s.),hidgish,,,
10903,הגשמים,the rains,hagshamim,,,
10904,הגביר,the rich man / the lord,hagvir,,,
10905,הגביר,increased / amplified / strengthened (pl.),higbir,,,
10906,הגב,the back,hagav,,,
10907,הבינה,understood (f.s.),hevina,,,
10908,הרושם,the impression,haroshem (n.),,,
10909,הרושם,that/who writes (m.s.),haroshem (v.),,,
10910,הציון,the marking / the pointing out / the grade,hatsiyun,,,
10911,דפוס,print / pattern,dfus,,,
10912,במשק,in an economy / in a farm,bemeshek,,,
10913,במעמקי,from the depth of,mema'amkei,,,
10914,במצבו,at his state / in his situation,bematsavo,,,
10915,בשבתות,on Saturdays,beshabatot,,,
10916,בשבתות,on Saturdays,bashabatot,,,
10917,בקומה,on the [X] floor / at a height [of],bekoma,,,
10918,בקבלת,on reception of,bekabalat,,,
10919,בעבור,for,ba'avur,,,
10920,באיכות,in a quality,be'eikhut,,,
10921,באיכות,in the quality,ba'eikhut,,,
10922,בחלקם,in part / in their part / [in] their share,bekhelkam,,,
10923,בחג,during the holiday,bekhag,,,
10924,בחרה,chose / selected / voted (f.s.),bakhra,,,
10925,בהוראה,under an order,behora'a,,,
10926,טיפות,drops,tipot,,,
10927,טבעה,her nature,tiv'a,,,
10928,טבעה,drowned (f.s.),tav'a,,,
10929,רפואי,medical (m.s.),refu'i,,,
10930,רבו,fought (pl.),ravu,,,
10931,רבו,his rabbi / his teacher,rabo,,,
10932,צער,sorrow / grief,tsa'ar,,,
10933,צבעו,painted (pl.),tsav'u,,,
10934,צבעו,his/its color,tsiv'o,,,
10935,צרים,narrow / enemies / lay siege to / created / shaped (m.pl.),tsarim,,,
10936,ספקות,doubts,sfekot,,,
10937,נמכר,was sold (m.s.),nimkar,,,
10938,נמרצות,vigorous / energetic / lively (f.pl.),nimratsot,,,
10939,נאמן,loyal,ne'eman,,,
10940,נחשים,snakes,nekhashim,,,
10941,נכנסת,enters (f.s.),nikhneset,,,
10942,נגדה,against her,negda,,,
10943,נבחרות,the teams / the elected / the selected (f.pl.),hanivkharot,,,
10944,משקיפים,observers,mashkifim,,,
10945,מרידות,mutinies,meridot,,,
10946,להתקדמות,to/for an advance / to/for a progress,lehitkadmut,,,
10947,להתקדמות,to/for the advance / to/for the progress,lahitkadmut,,,
10948,כיתור,surrounding / besetment,kitur,,,
10949,ההליכים,the procedures / the proceedings,hahalikhim,,,
10950,הסחה,diversion / distraction,hasakha,,,
10951,מצבת,gravestone of / establishment / strength (of an army unit),matsevet,,,
10952,קברי,graves of,kivrei,,,
10953,עותק,copy,otek,,,
10954,התעלם,ignored,hit'alem,,,
10955,הושמדו,were destroyed / were exterminated (pl.),hushmedu,,,
10956,נכבש,was occupied (m.s.),nikhbash,,,
10957,מקלע,machine gun,mikla,,,
10958,מטרתו,his goal / his target,matrato,,,
10959,יריביו,his rivals / his opponents / his enemies,yerivav,,,
10960,לטעון,to claim / to argue,lit'on,,,
10961,ומצא,and found (m.s.),umatsa,,,
10962,והמלחמה,and the war,vehamilkhama,,,
10963,והוחלף,and was replaced,vehukhlaf,,,
10964,שהוצבו,that were posted / that were placed,shehutsvu,,,
10965,שנודעו,that was known (m.s.),shenoda,,,
10966,קיצונים,extreme (m.pl.),kitsonim (adj.),,,
10967,קיצונים,extremists / radicals (m.pl.),kitsonim (n.),,,
10968,עקבותיו,his traces / his footprints,ikvotav,,,
10969,אמורות,supposed (f.pl.),amurot,,,
10970,אחיינו,his nephew,akhyano,,,
10971,כישלונו,his failure,kishlono,,,
10972,המתוכננת,the planned (f.s.),hametukhnenet,,,
10973,המשכילים,the educated / the scholars,hamaskilim,,,
10974,המקוריות,the original (f.pl.),hamekoriyot,,,
10975,המכשול,the obstacle / the hurdle,hamikhshol,,,
10976,המנהיגים,the leaders,hamanhigim,,,
10977,הישגים,achievements,hesegim,,,
10978,היבשתי,the continental / the terrestrial,hayabashti,,,
10979,התוצרת,the produce / the output,hatotseret,,,
10980,הולם,fits (cloth) / appropriate,holem,,,
10981,השתלטו,took control (pl.),hishtaltu,,,
10982,העונש,the punishment,ha'onesh,,,
10983,החוקית,the legal (f.s.),hakhukit,,,
10984,הכריזו,proclaimed / announced / declared (pl.),hikhrizu,,,
10985,הגבירו,increased / amplified / strengthened (pl.),higbiru,,,
10986,דרשה,required / demanded (f.s.),darsha,,,
10987,בחופזה,hastily,bekhofza,,,
10988,סופו,his/its end,sofo,,,
10989,נקטו,took (action / step) (pl.),naktu,,,
10990,מלומדים,scholars,melumadim,,,
10991,מתנגד,resists / objects (m.s.),mitnaged,,,
10992,מפורשת,explicit,meforeshet,,,
10993,מאן,refused (m.s.),me'en,,,
10994,מהירים,fast / rapid / quick (m.pl.),mehirim,,,
10995,מהספינה,from the ship,mehasfina,,,
10996,מהנדס,engineer,mehandes,,,
10997,מרשימים,impressive (m.pl.),marshimim,,,
10998,ילידי,natives of,yelidei,,,
10999,למאסר,to incarceration,le'ma'asar,,,
11000,למאסר,to the incarceration,la'ma'asar,,,
11001,לתוקף,to/for an attacker,letokef,,,
11002,לתוקף,to/for the attacker,latokef,,,
11003,לתוקף,valid from / effective from,[nikhnas] letokef,,,
11004,לשאר,to/for the rest,lash'ar,,,
11005,לאותו,to/for the same,le'oto,,,
11006,לאספה,to a meeting,le'asefa,,,
11007,לאספה,to the meeting,la'asefa,,,
11008,תוצאותיה,its results / its consequences (f.s.),tots'oteha,,,
11009,תרמו,donated / contributed (pl.),tarmu,,,
11010,ולקבל,and to receive / and to accept,ulkabel,,,
11011,ולדברי,and according to,uldivrei,,,
11012,ופעלו,and operated / and acted,ufa'alu,,,
11013,ואמנות,and art,ve'omanut,,,
11014,וחוסר,and lack / and deficiency / and shortage / and deficit,vekhoser,,,
11015,ובצפון,and in the north,uvatsafon,,,
11016,ובניגוד,and as opposed to / and contrary to,uvenigud,,,
11017,שייכות,relevance / relation / ownership,shayakhut,,,
11018,שיותר,that more,sheyoter,,,
11019,שיקפו,reflected,shikfu,,,
11020,שקיעה,sinking / decline / sunset,shki'a,,,
11021,שרפו,burned (pl.),sarfu,,,
11022,קורט,very small amount,koret,,,
11023,חילק,divided / distributed (m.s.),khilek,,,
11024,חולק,shares / disagrees (m.s.),kholek,,,
11025,אסר,forbade / imprisoned (m.s.),asar,,,
11026,המלכותית,the royal (f.s.),hamalkhutit,,,
11027,המשרד,the office / the bureau / the Ministry,hamisrad,,,
11028,המחוז,the district,hamakhoz,,,
11029,המסעות,the journeys,hamasa'ot,,,
11030,היצירות,the formations / the creations / the making / the works of art / the compositions,hayetsirot,,,
11031,התחתן,got married (m.s.),hitkhaten,,,
